overall_rates,status,title,date,position,location,pros,cons
4,Former Employee,Terrible,20-Oct-22, Sales Associate ,None,Friendship Discount Training Events Commerciality,Working hours tasks management Standing Uniform
4,"Former Employee, less than 1 year",Working at zara is fine,10-Oct-22, Anonymous Employee,"Birmingham, England","It was fast paced, good hours.","Can’t talk to colleagues very much, management is okay."
3,"Current Employee, more than 1 year",okay,09-Sep-22, Sales Assistant ,None,"large team, make lots of friends, staff discount","understaffed, very autocratic supervisarial management style which feels like being at school with a headmaster, cliquey managers, becomes a toxic environment if they don't like you"
3,Former Employee,not good,09-Oct-22, Anonymous Employee ,None,good discount and good hq support,rude management and unpaid mandatory overtime
2,"Current Employee, more than 3 years",.,13-Oct-22, Department Manager,"London, England",staff discount quick internal progression,not a very healthy environment
3,"Current Employee, more than 3 years",I would not recommend,08-Sep-22, Sales Assistant,"London, England", Benefits  Meet lots of people  Two breaks per shift  Discounts, Working under a lot of pressure  Payments are quiet low  It usually takes a long time to grow if you're interested
4,"Current Employee, less than 1 year",not bad,01-Oct-22, Shop Assistant,"York, England",good team. always helpful. not bad people around,quit small salary extra working not paid
5,Former Employee,Great,07-Oct-22, Anonymous Employee ,None,really great absolutely amazing wow,nothing really all good yeah
2,"Current Employee, less than 1 year",Only work if you really don’t have another option,24-Aug-22, Sales ,None,Staff Discount you can use in all index companies,The managers are horrendous treat staff with little to no respect Long working hours Do more work that should
1,Former Employee,Workload,10-Nov-22, Sale Assistant ,None,Employee discount is very good,Workload can be too much for parttime job
5,"Former Employee, less than 1 year",sales assistant,22-Sep-22, Anonymous Employee ,None,good pay plus commission with lovely staff and manager,very busy at times with low staff
2,Former Employee,run away,05-Sep-22, Anonymous Employee ,None,The only good thing realistically was the discount you got,lack of progression lack of management lack of staff no overtime pay rude customers store rules changing depending on what manager was in favouritism
3,"Former Employee, less than 1 year",Zara,02-Oct-22, Anonymous Employee ,None,Shifts go quickly Great incentives,Very fast paced environment Busy
2,"Former Employee, more than 1 year",Salary,07-Jun-22, Sales Associate ,None,"Able to learn how to work in fast pace and become a perfectionist in maintaining standard on the shopfloor. Good communication throughout with back of house, shopfloor, Management and main till. Good system in place for replan, customer focus for online order and lastly self check out.","Fast pace working environment , very strict, you need to be strong as you will have to be able to hold up to 20+ clothing in your right or left hand. Everyone speaks in Spanish even when customer is around which is unprofessional. If you’re not Spanish it’s quite hard to grow."
1,Current Employee,Worse palace to work,01-Nov-22, Sale Assistant ,None,Discount Payment Nothing Else To say,Rude management Working non stop Less Appreciate
1,"Former Employee, less than 1 year",Bad company,18-Sep-22, Commercial Sales Assistant,"Stratford, London, England","Just the discount, no more options","Too much stress and the boss screaming all time , they don’t pay you all the money, you go to holidays and when you come back you don’t have job"
2,Current Employee,It’s ok,13-Sep-22, Anonymous Employee ,None,Good benefits for employees and discount,You can’t really trust management as they’re only thinking about what’s better for them.
1,"Current Employee, less than 1 year","Refrain from working here, unless you are doing no more than 20 hrs",13-Jul-22, Sales Assistant,"Covent Garden, England",Paid break Make friends with co workers,"Rude manager No training Get shouted at daily for doing anything wrong, even though you have no training Mentally stressful Not worth the pay"
2,"Former Employee, more than 1 year",Has potential to be so great,09-Aug-22, Cashier,"Canterbury, England",Discount on store Commission Uniform is nice,Limited hours available meaning hardly anyone to help with a lot of work No beneficial perks such Holiday basic No double time
5,"Current Employee, less than 1 year",Sales Associate,09-Sep-22, Sales Associate ,None,"Amazing, lovely, happy, cool, great","Not bad, meh, could be better, it is okay"
3,"Former Employee, less than 1 year",Not going to repite,04-Sep-22, Sales Associate,"London, England",Good discount 25 percent and gift card on Christmas,Disorganised all work go to one person
3,Former Employee,Good First Job,09-Sep-22, Sales Associate,"London, England",Good first job. Nice People to work with.,shifts changed without much notice.
3,"Former Employee, more than 1 year","Good Company, Low Salary",12-Jun-22, Cashier,"London, England","Your can learn different way of payment and transactions, well structured as Company and HR, nice environment where you can make real friends","Long hours, alway busy, rude customers, you can apply for any positions but at the and of the opening time they will request to help the shopfloor team to run an infinity amount of rails full of clothes coming from the fitting room and not paid overtime (but you gonna have a timeback)"
1,Current Employee,Not so bad,19-Oct-22, Anonymous Employee ,None,"Nice environment, nice people, good discount",Managers sometimes are rude and
4,Current Employee,good,06-Sep-22, Sales Associate,"London, England",it was a good experience,could pay staff more for the amount of work
3,"Current Employee, more than 3 years",Floor manager,30-Aug-22, Manager,"London, England",Uniform Running teams Fashion trends always top,Long hours Only for people enjoy being active and like fast paced environment
1,"Current Employee, less than 1 year",Very bad and rude managers!,02-Oct-22, Sales Assistant ,None,Very unprofessional they expect you to do things Without even getting proper training.,Nothing good about working at Zara
5,"Former Employee, more than 1 year",Manager,15-Aug-22, Anonymous Employee ,None,Working at Zara was great. The management style we used was quite helpful to employee s,There aren’t really any cons. We had amazing time at Zara
5,"Current Employee, less than 1 year",Nice but hectic at moments,26-Jul-22, Sales Assistant,"Nottingham, England","if you like fashion it's a very nice place to work with a great atmosphere. Also, you receive 25% off discount after your first month.",Deal with very rude customers. your feet going to hurt after a shift.
